// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
10335	1	21.7546
10337	54	15.9997
10338	30	16.8477
10339	35	16.6253
10340	13	18.0541
10341	56	15.9472
10342	487	12.8268
10343	10	18.4326
10344	126	14.7773
10345	38	16.5066
10346	259	13.7377
10347	9	18.5846
10348	258	13.7433
10349	255	13.7602
10350	17	17.6671
10351	17	17.6671
10352	53	16.0266
10353	34	16.6671
10354	96	15.1696
10355	530	12.7047
10356	86	15.3283
10357	102	15.0821
10358	23	17.231
10359	33	16.7102
10361	3	20.1696
10463	1	21.7546
10505	5	19.4326
10506	2827	10.2895
10528	3010	10.199
10529	5	19.4326
10530	18	17.5846
10534	11	18.2951
10536	10	18.4326
10537	101	15.0963
10538	8	18.7546
10539	2	20.7546
10540	56	15.9472
10541	3	20.1696
10542	114	14.9217
10543	4	19.7546
10544	1	21.7546
10547	1	21.7546
10548	1	21.7546
10549	3	20.1696
10550	1	21.7546
10551	1	21.7546
10552	2	20.7546
10553	1	21.7546
10554	8	18.7546
10555	573	12.5922
10556	48	16.1696
10557	4	19.7546
10559	1	21.7546
10563	3	20.1696
10572	1	21.7546
10575	1	21.7546
10591	4	19.7546
10594	6	19.1696
10596	1	21.7546
10600	4	19.7546
10607	3	20.1696
10611	46	16.231
10615	1	21.7546
10618	1	21.7546
10619	2	20.7546
10761	9	18.5846
10762	96	15.1696
10784	306	13.4972
10785	1	21.7546
10786	2	20.7546
10788	1	21.7546
10790	5	19.4326
10791	3	20.1696
10793	1	21.7546
10794	3790	9.86657
10797	30	16.8477
10798	2	20.7546
10799	3	20.1696
10802	2	20.7546
10803	2	20.7546
10805	2	20.7546
10810	3	20.1696
10811	6	19.1696
10812	81	15.4147
10813	2	20.7546
10817	22	17.2951
10818	6	19.1696
10819	4	19.7546
10820	4	19.7546
10821	3	20.1696
10822	14	17.9472
10823	4	19.7546
10824	1	21.7546
10825	10	18.4326
10826	30	16.8477
10827	1	21.7546
10828	4	19.7546
10829	3	20.1696
10830	41	16.397
10832	7	18.9472
10833	1	21.7546
10834	5	19.4326
10835	12	18.1696
10836	21	17.3622
10838	1	21.7546
10839	10	18.4326
10841	2	20.7546
10842	2	20.7546
10849	2	20.7546
10856	8	18.7546
10865	6	19.1696
10869	2	20.7546
10871	2	20.7546
10881	1	21.7546
11017	2	20.7546
11018	199	14.1179
11040	55	15.9732
11042	3	20.1696
11044	3	20.1696
11046	3	20.1696
11047	1	21.7546
11049	4	19.7546
11051	1527	11.1781
11052	1	21.7546
11053	4	19.7546
11054	2	20.7546
11055	134	14.6885
11056	1940	10.8327
11057	201	14.1035
11058	146	14.5647
11059	133	14.6993
11060	147	14.5549
11061	205	14.0751
11062	115	14.9091
11063	159	14.4417
11064	115	14.9091
11065	143	14.5947
11067	1	21.7546
11068	18	17.5846
11069	7	18.9472
11071	1	21.7546
11073	177	14.2869
11074	156	14.4691
11075	199	14.1179
11076	540	12.6777
11077	126	14.7773
11078	109	14.9864
11079	105	15.0403
11080	148	14.5451
11081	179	14.2707
11082	177	14.2869
11083	165	14.3882
11084	129	14.7433
11085	100	15.1107
11086	118	14.8719
11087	107	15.0131
11088	461	12.9059
11089	128	14.7546
11090	134	14.6885
11091	132	14.7102
11092	140	14.6253
11093	137	14.6565
11094	149	14.5354
11095	129	14.7433
11096	108	14.9997
11097	137	14.6565
11098	156	14.4691
11102	1	21.7546
11105	143	14.5947
11106	140	14.6253
11107	136	14.6671
11108	129	14.7433
11109	109	14.9864
11110	122	14.8238
11111	164	14.397
11112	189	14.1923
11113	195	14.1472
11114	164	14.397
11115	187	14.2077
11116	185	14.2232
11117	140	14.6253
11118	154	14.4878
11119	146	14.5647
11120	213	14.0198
11121	145	14.5746
11122	195	14.1472
11123	163	14.4058
11124	157	14.4599
11125	149	14.5354
11126	164	14.397
11127	122	14.8238
11128	163	14.4058
11129	148	14.5451
11130	180	14.2627
11168	10	18.4326
11274	835	12.0489
11296	10768	8.36009
11298	19	17.5066
11300	6	19.1696
